timestamp	ICAO_address	lat	lon	altitude	heading	hor_velocity	ver_velocity	valid_flags	alt_type	callsign	emitter_type	tslc
1750683323	AE63B4	627814208	-1481755520	7010399	21268	23510	0	01BF	0	SHAMN11	5	8
1750683323	A98046	635978048	-1491342336	5791200	19823	13787	0	01BF	0	CFS7663	2	1
1750683324	AE63B4	627814208	-1481755520	7010399	21268	23510	0	01BF	0	SHAMN11	5	9
1750683324	A98046	635968320	-1491349632	5791200	19823	13787	32	01BF	0	CFS7663	2	1
1750683325	AE63B4	627814208	-1481755520	7010399	21268	23510	0	01BF	0	SHAMN11	5	10
1750683325	A98046	635956160	-1491358848	5791200	19823	13787	32	01BF	0	CFS7663	2	1
1750683326	AE63B4	627814208	-1481755520	7010399	21268	23510	0	01BF	0	SHAMN11	5	11
1750683326	A98046	635943616	-1491368704	5791200	19823	13787	32	01BF	0	CFS7663	2	1
1750683327	AE63B4	627814208	-1481755520	7010399	21268	23510	0	01BF	0	SHAMN11	5	12
1750683327	A98046	635933824	-1491375232	5791200	19823	13787	32	01BF	0	CFS7663	2	1
1750683328	AE63B4	627814208	-1481755520	7010399	21268	23510	0	01BF	0	SHAMN11	5	13
1750683328	A98046	635923584	-1491383040	5791200	19829	13735	32	01BF	0	CFS7663	2	0
1750683329	AE63B4	627814208	-1481755520	7010399	21268	23510	0	01BF	0	SHAMN11	5	14
1750683329	A98046	635911104	-1491391872	5791200	19829	13735	32	01BF	0	CFS7663	2	1
1750683330	AE63B4	627814208	-1481755520	7010399	21268	23510	0	01BF	0	SHAMN11	5	15
1750683330	A98046	635899200	-1491400448	5791200	19829	13735	0	01BF	0	CFS7663	2	1
1750683331	AE63B4	627814208	-1481755520	7010399	21268	23510	0	01BF	0	SHAMN11	5	16
1750683331	A98046	635886784	-1491409408	5791200	19829	13735	0	01BF	0	CFS7663	2	1
1750683332	AE63B4	627814208	-1481755520	7010399	21268	23510	0	01BF	0	SHAMN11	5	17
1750683332	A98046	635875136	-1491418112	5791200	19829	13735	65504	01BF	0	CFS7663	2	1
1750683333	AE63B4	627814208	-1481755520	7010399	21268	23510	0	01BF	0	SHAMN11	5	18
1750683333	A98046	635861184	-1491428992	5791200	19829	13735	65504	01BF	0	CFS7663	2	1
1750683334	AE63B4	627814208	-1481755520	7010399	21268	23510	0	01BF	0	SHAMN11	5	19
1750683334	A98046	635855168	-1491433600	5791200	19829	13735	65504	01BF	0	CFS7663	2	1
1750683335	AE63B4	627814208	-1481755520	7010399	21268	23510	0	01BF	0	SHAMN11	5	20
1750683335	A98046	635837888	-1491445760	5791200	19809	13735	0	01BF	0	CFS7663	2	1
1750683336	AE63B4	627814208	-1481755520	7010399	21268	23510	0	01BF	0	SHAMN11	5	21
1750683336	A98046	635827200	-1491453440	5791200	19809	13735	0	01BF	0	CFS7663	2	1
1750683337	AE63B4	627814208	-1481755520	7010399	21268	23510	0	01BF	0	SHAMN11	5	22
1750683337	A98046	635813696	-1491463168	5791200	19809	13735	0	01BF	0	CFS7663	2	1
1750683338	AE63B4	627814208	-1481755520	7010399	21268	23510	0	01BF	0	SHAMN11	5	23
1750683338	A98046	635802624	-1491472384	5791200	19809	13735	65504	01BF	0	CFS7663	2	1
1750683339	AE63B4	627814208	-1481755520	7010399	21268	23510	0	01BE	0	SHAMN11	5	24
1750683339	A98046	635791168	-1491480704	5791200	19802	13787	0	01BF	0	CFS7663	2	1
1750683340	AE63B4	627814208	-1481755520	7010399	21268	23510	0	01BE	0	SHAMN11	5	25
1750683340	A98046	635777920	-1491490176	5791200	19802	13787	0	01BF	0	CFS7663	2	0
